% Motor Sine Wave Linearization Verification
% Amplitude    = 2.0000 [V]
% Frequency    = 0.025000 [Hz]
% Period       = 40.0000 [sec]
% Cycles       = 1
% Duration     = 40.0000 [sec]
% K_lin        = 8.333100 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.335874 [V]
% p_cw         = [-3.862900, 39.921500, -80.250500]
% p_ccw        = [3.553400, 1.935700, -22.689000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.8300072000         0.2600163528         2.8509705741         1.4093044805         0.5893354994         1.9128403180         2.1667422697
        0.8350126000         0.2615754192         2.8516966736         1.4220661148         0.6046467642         2.2452769391         2.1797341258
        0.8400048000         0.2631302130         2.8524210100         1.4093044805         0.6046467642         1.9128403180         2.1926903783
        0.8450098000         0.2646888309         2.8531473556         1.4169614611         0.6123023966         2.1123022907         2.2056784971
        0.8500030000         0.2662436111         2.8538721399         1.4067521537         0.6225099064         1.8463529938         2.2186346360
        0.8550130000         0.2678034579         2.8545995143         1.4118568074         0.6352692937         1.9793276422         2.2316329951
        0.8600080000         0.2693584694         2.8553248618         1.4169614611         0.6403730486         2.1123022907         2.2445910611
        0.8650069000         0.2709145289         2.8560509260         1.4246184417         0.6505805584         2.3117642634         2.2575578611
        0.8700063000         0.2724705771         2.8567772130         1.4195137880         0.6531324359         2.1787896149         2.2705245658
        0.8750063000         0.2740266439         2.8575037371         1.4118568074         0.6556843134         1.9793276422         2.2834914263
        0.8800033000         0.2755816082         2.8582299749         1.4093044805         0.6633399457         1.9128403180         2.2964490993
        0.8850049000         0.2771378339         2.8589570305         1.4246184417         0.6760993330         2.3117642634         2.3094172838
        0.8900051000         0.2786934530         2.8596840316         1.4144091342         0.6837549654         2.0458149665         2.3223804134
        0.8950049000         0.2802487758         2.8604111234         1.4144091342         0.6965143527         2.0458149665         2.3353410735
        0.9000032000         0.2818034592         2.8611381452         1.4016475000         0.6914105978         1.7133783453         2.3482964055
        0.9050059000         0.2833593372         2.8618659553         1.4067521537         0.7041699851         1.8463529938         2.3612616925
        0.9100047000         0.2849138275         2.8625933458         1.4169614611         0.7169293724         2.1123022907         2.3742154157
        0.9150076000         0.2864694169         2.8633214805         1.4220661148         0.7296887597         2.2452769391         2.3871782979
        0.9200047000         0.2880230263         2.8640489181         1.4144091342         0.7322406371         2.0458149665         2.4001246801
        0.9250087000         0.2895786030         2.8647775071         1.4220661148         0.7501037793         2.2452769391         2.4130874569
        0.9300050000         0.2911316076         2.8655051215         1.4271707685         0.7552075343         2.3782515876         2.4260287995
        0.9350140000         0.2926883798         2.8662347319         1.4271707685         0.7654150441         2.3782515876         2.4390015374
        0.9400071000         0.2942400299         2.8669621721         1.4118568074         0.7654150441         1.9793276422         2.4519315935
        0.9450122000         0.2957952276         2.8676915064         1.4246184417         0.7807263088         2.3117642634         2.4648912108
        0.9500060000         0.2973467318         2.8684193391         1.4169614611         0.7781744314         2.1123022907         2.4778200508
        0.9550153000         0.2989028679         2.8691495762         1.4246184417         0.7985894511         2.3117642634         2.4907874882
        0.9600098000         0.3004542221         2.8698778004         1.4271707685         0.8062450834         2.3782515876         2.5037150779
        0.9650160000         0.3020090249         2.8706078751         1.4195137880         0.8087969609         2.1787896149         2.5166714050
        0.9700064000         0.3035587347         2.8713357893         1.4322754222         0.8241082257         2.5112262360         2.5295852920
        0.9750153000         0.3051140019         2.8720665460         1.4118568074         0.8190044707         1.9793276422         2.5425454892
        0.9805589000         0.3068350736         2.8728754787         1.4271707685         0.8419713679         2.3782515876         2.5568873519
        0.9850167000         0.3082188781         2.8735260971         1.4093044805         0.8394194904         1.9128403180         2.5684187327
        0.9901777000         0.3098207833         2.8742794896         1.4322754222         0.8547307552         2.5112262360         2.5817675689
        0.9950126000         0.3113212867         2.8749854164         1.4169614611         0.8572826326         2.1123022907         2.5942714141
        1.0000370000         0.3128804109         2.8757191523         1.4271707685         0.8649382650         2.3782515876         2.6072637517
        1.0050151000         0.3144249755         2.8764462681         1.4297230954         0.8802495297         2.4447389118         2.6201347630
        1.0100106000         0.3159747455         2.8771760665         1.4271707685         0.8904570396         2.3782515876         2.6330491519
        1.0150098000         0.3175254687         2.8779065465         1.4169614611         0.8930089170         2.1123022907         2.6459714830
        1.0200029000         0.3190741042         2.8786362758         1.4526940371         0.9057683043         3.0431248299         2.6588764176
        1.0250048000         0.3206252723         2.8793674317         1.4348277491         0.9236314466         2.5777135603         2.6718024564
        1.0300048000         0.3221756533         2.8800984503         1.4271707685         0.9287352015         2.3782515876         2.6847219368
        1.0350051000         0.3237259287         2.8808296527         1.4067521537         0.9363908338         1.8463529938         2.6976405361
        1.0400047000         0.3252757873         2.8815608923         1.4399324028         0.9465983437         2.7106882087         2.7105556630
        1.0450035000         0.3268251973         2.8822921543         1.4195137880         0.9465983437         2.1787896149         2.7234670520
        1.0500047000         0.3283751496         2.8830239064         1.4373800759         0.9695652408         2.6442008845         2.7363829595
        1.0550032000         0.3299240627         2.8837554020         1.4373800759         0.9797727506         2.6442008845         2.7492902068
        1.0600046000         0.3314736708         2.8844874605         1.4297230954         0.9823246281         2.4447389118         2.7622032462
        1.0650048000         0.3330227026         2.8852194815         1.4271707685         0.9925321379         2.3782515876         2.7751114831
        1.0700046000         0.3345714051         2.8859515816         1.4322754222         1.0027396478         2.5112262360         2.7880169756
        1.0750040000         0.3361197773         2.8866837605         1.4271707685         1.0129471576         2.3782515876         2.8009197162
        1.0800064000         0.3376688712         2.8874165160         1.4297230954         1.0231546675         2.4447389118         2.8138284704
        1.0850044000         0.3392163943         2.8881487637         1.4297230954         1.0257065449         2.4447389118         2.8267241354
        1.0900066000         0.3407650085         2.8888817633         1.4348277491         1.0486734420         2.5777135603         2.8396288925
        1.0950059000         0.3423125147         2.8896144741         1.4246184417         1.0461215646         2.3117642634         2.8525244166
        1.1000079000         0.3438606455         2.8903477165         1.4348277491         1.0614328293         2.5777135603         2.8654251447
        1.1050050000         0.3454070476         2.8910803760         1.4322754222         1.0716403392         2.5112262360         2.8783114688
        1.1100057000         0.3469543508         2.8918136984         1.4322754222         1.0767440941         2.5112262360         2.8912053010
        1.1150055000         0.3485011615         2.8925470238         1.4297230954         1.0869516039         2.4447389118         2.9040950293
        1.1200043000         0.3500474480         2.8932803370         1.4399324028         1.1073666236         2.7106882087         2.9169803888
        1.1250047000         0.3515940134         2.8940140191         1.4220661148         1.1022628687         2.2452769391         2.9298680732
        1.1300059000         0.3531406093         2.8947479526         1.4271707685         1.1099185011         2.3782515876         2.9427560116
        1.1350049000         0.3546863071         2.8954816967         1.4399324028         1.1226778884         2.7106882087         2.9556364656
        1.1400077000         0.3562329609         2.8962161319         1.4297230954         1.1328853982         2.4447389118         2.9685248863
        1.1450052000         0.3577777565         2.8969499220         1.4348277491         1.1379891531         2.5777135603         2.9813978225
        1.1500068000         0.3593235987         2.8976844466         1.4348277491         1.1533004179         2.5777135603         2.9942794804
        1.1550043000         0.3608679522         2.8984185014         1.4424847297         1.1711635601         2.7771755329         3.0071487328
        1.1600060000         0.3624133810         2.8991533050         1.4348277491         1.1686116826         2.5777135603         3.0200269453
        1.1650032000         0.3639571960         2.8998875791         1.4475893834         1.1915785797         2.9101501814         3.0328917096
        1.1700064000         0.3655026399         2.9006228661         1.4348277491         1.1966823347         2.5777135603         3.0457700483
        1.1750061000         0.3670467771         2.9013577699         1.4399324028         1.2068898445         2.7106882087         3.0586374986
        1.1800079000         0.3685913365         2.9020931130         1.4450370565         1.2196492318         2.8436628572         3.0715084659
        1.1850371000         0.3701441275         2.9028326158         1.4399324028         1.2273048642         2.7106882087         3.0844480291
        1.1900098000         0.3716792468         2.9035639400         1.4475893834         1.2426161289         2.9101501814         3.0972403316
        1.1952427000         0.3732944474         2.9043336698         1.4399324028         1.2451680064         2.7106882087         3.1106999595
        1.2000069000         0.3747647585         2.9050345797         1.4399324028         1.2579273937         2.7106882087         3.1229522088
        1.2050155000         0.3763102691         2.9057715721         1.4373800759         1.2681349035         2.6442008845         3.1358311037
        1.2100072000         0.3778503332         2.9065062061         1.4424847297         1.2783424134         2.7771755329         3.1486646114
        1.2150071000         0.3793926943         2.9072421752         1.4373800759         1.2885499232         2.6442008845         3.1615172605
        1.2200039000         0.3809338653         2.9079778159         1.4475893834         1.2987574330         2.9101501814         3.1743599925
        1.2250068000         0.3824766826         2.9087144825         1.4348277491         1.3038611879         2.5777135603         3.1872164435
        1.2300037000         0.3840174138         2.9094503928         1.4322754222         1.3140686978         2.5112262360         3.2000555110
        1.2350064000         0.3855596964         2.9101872844         1.4450370565         1.3293799625         2.8436628572         3.2129075060
        1.2400054000         0.3871006005         2.9109237577         1.4373800759         1.3319318400         2.6442008845         3.2257480139
        1.2450092000         0.3886427451         2.9116610647         1.4424847297         1.3472431047         2.7771755329         3.2385988592
        1.2500042000         0.3901819381         2.9123972008         1.4475893834         1.3676581244         2.9101501814         3.2514251088
        1.2550066000         0.3917231707         2.9131345534         1.4373800759         1.3651062470         2.6442008845         3.2642683541
        1.2600051000         0.3932629602         2.9138714564         1.4475893834         1.3880731441         2.9101501814         3.2770995733
        1.2650097000         0.3948043858         2.9146093839         1.4501417102         1.3982806539         2.9766375056         3.2899444274
        1.2700054000         0.3963428269         2.9153461237         1.4399324028         1.4033844088         2.7106882087         3.3027644109
