% Motor Sine Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 40.0000 [sec]
% Frequency    = 0.025000 [Hz]
% Cycles       = 5
% Duration     = 200.0000 [sec]
% K_lin        = 8.127800 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.337023 [V]
% p_cw         = [-2.621900, 30.449800, -63.426600]
% p_ccw        = [2.394600, 4.751300, -23.293900]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
        0.8450062000         0.3308596374         2.8909291933         1.4246184417         3.6898666121         2.2818449675         2.6891609608
        0.8500065000         0.3328058761         2.8919639277         1.4297230954         3.7077297543         2.4148196159         2.7049796001
        0.8550080000         0.3347523766         2.8929991688         1.4577986908         3.7230410191         3.1461801824         2.7208003663
        0.8600072000         0.3366977754         2.8940341916         1.4322754222         3.7281447740         2.4813069401         2.7366121790
        0.8650087000         0.3386438615         2.8950699481         1.4348277491         3.7383522838         2.5477942644         2.7524295776
        0.8700121000         0.3405904778         2.8961063556         1.4373800759         3.7511116711         2.6142815886         2.7682512852
        0.8750136000         0.3425361445         2.8971426264         1.4399324028         3.7485597937         2.6807689128         2.7840652756
        0.8800074000         0.3444786050         2.8981775577         1.4322754222         3.7664229359         2.4813069401         2.7998532054
        0.8850103000         0.3464243925         2.8992146311         1.4297230954         3.7689748133         2.4148196159         2.8156681774
        0.8900069000         0.3483675162         2.9002506540         1.4297230954         3.7740785683         2.4148196159         2.8314614985
        0.8950125000         0.3503139248         2.9012887986         1.4373800759         3.7919417105         2.6142815886         2.8472815180
        0.9000058000         0.3522553348         2.9023246467         1.4424847297         3.8098048527         2.7472562370         2.8630609100
        0.9050129000         0.3542018926         2.9033636126         1.4271707685         3.8072529752         2.3483322917         2.8788821429
        0.9100063000         0.3561429063         2.9043999896         1.4271707685         3.8200123625         2.3483322917         2.8946583135
        0.9150119000         0.3580884423         2.9054391527         1.4271707685         3.8251161174         2.3483322917         2.9104712414
        0.9200068000         0.3600295989         2.9064763478         1.4373800759         3.8455311371         2.6142815886         2.9262485739
        0.9250139000         0.3619752743         2.9075163297         1.4373800759         3.8506348920         2.6142815886         2.9420626345
        0.9300054000         0.3639146649         2.9085533236         1.4373800759         3.8608424019         2.6142815886         2.9578256137
        0.9350025000         0.3658560073         2.9095917329         1.4271707685         3.8633942793         2.3483322917         2.9736044560
        0.9400024000         0.3677982118         2.9106309759         1.4450370565         3.8838092990         2.8137435613         2.9893903060
        0.9450030000         0.3697404613         2.9116706161         1.4399324028         3.8965686863         2.6807689128         3.0051765217
        0.9500033000         0.3716823662         2.9127104451         1.4399324028         3.9042243187         2.6807689128         3.0209599364
        0.9550025000         0.3736236147         2.9137502962         1.4399324028         3.9067761961         2.6807689128         3.0367380158
        0.9600037000         0.3755654093         2.9147908139         1.4450370565         3.9220874609         2.8137435613         3.0525205337
        0.9650031000         0.3775062733         2.9158312071         1.4450370565         3.9399506031         2.8137435613         3.0682954884
        0.9700033000         0.3794472151         2.9168720166         1.4475893834         3.9425024806         2.8802308855         3.0840710748
        0.9750187000         0.3813938219         2.9179162406         1.4526940371         3.9527099904         3.0132055340         3.0998927058
        0.9800028000         0.3833280459         2.9189541960         1.4450370565         3.9629175002         2.8137435613         3.1156136914
        0.9850076000         0.3852700667         2.9199967108         1.4475893834         3.9756768875         2.8802308855         3.1313980481
        0.9900046000         0.3872088233         2.9210378490         1.4450370565         3.9909881523         2.8137435613         3.1471558739
        0.9950037000         0.3891481559         2.9220796724         1.4654556714         3.9884362748         3.3456421551         3.1629183818
        1.0000033000         0.3910874426         2.9231218475         1.4475893834         4.0037475396         2.8802308855         3.1786805156
        1.0050035000         0.3930267207         2.9241643949         1.4603510177         4.0241625592         3.2126675066         3.1944425802
        1.0100046000         0.3949661053         2.9252073767         1.4501417102         4.0267144367         2.9467182097         3.2102055106
        1.0150050000         0.3969049748         2.9262504589         1.4501417102         4.0369219465         2.9467182097         3.2259642541
        1.0200041000         0.3988430954         2.9272935159         1.4526940371         4.0573369662         3.0132055340         3.2417169111
        1.0250032000         0.4007809702         2.9283368185         1.4526940371         4.0649925986         3.0132055340         3.2574675692
        1.0300036000         0.4027191016         2.9293806376         1.4552463639         4.0777519859         3.0796928582         3.2732203138
        1.0351654000         0.4047195302         2.9304584054         1.4654556714         4.0956151281         3.3456421551         3.2894793980
        1.0400038000         0.4065943854         2.9314688849         1.4501417102         4.0981670056         2.9467182097         3.3047178455
        1.0450035000         0.4085314967         2.9325132913         1.4603510177         4.1160301478         3.2126675066         3.3204622987
        1.0500045000         0.4104688596         2.9335582131         1.4526940371         4.1160301478         3.0132055340         3.3362087970
        1.0550206000         0.4124118177         2.9346065345         1.4475893834         4.1262376576         2.8802308855         3.3520007720
        1.0600043000         0.4143419723         2.9356483267         1.4501417102         4.1389970449         2.9467182097         3.3676886827
        1.0650039000         0.4162780298         2.9366936849         1.4552463639         4.1517564322         3.0796928582         3.3834245703
        1.0700045000         0.4182142176         2.9377394944         1.4577986908         4.1696195744         3.1461801824         3.3991615180
        1.0750035000         0.4201495281         2.9387852110         1.4552463639         4.1823789617         3.0796928582         3.4148913342
        1.0800050000         0.4220855471         2.9398316922         1.4526940371         4.1900345941         3.0132055340         3.4306269096
        1.0850041000         0.4240203768         2.9408779122         1.4577986908         4.2027939814         3.1461801824         3.4463528184
        1.0900031000         0.4259549063         2.9419243519         1.4603510177         4.2181052461         3.2126675066         3.4620762875
        1.0950041000         0.4278899470         2.9429714507         1.4501417102         4.2308646334         2.9467182097         3.4778039112
        1.1000269000         0.4298331570         2.9440233555         1.4731126519         4.2512796531         3.5451041278         3.4935979335
        1.1050033000         0.4317581520         2.9450657813         1.4731126519         4.2512796531         3.5451041278         3.5092439079
        1.1100068000         0.4336933640         2.9461141226         1.4603510177         4.2691427953         3.2126675066         3.5249729237
        1.1151225000         0.4356716947         2.9471862196         1.4603510177         4.2819021826         3.2126675066         3.5410524005
        1.1200033000         0.4375589233         2.9482093212         1.4807696325         4.2895578150         3.7445661004         3.5563914171
        1.1250039000         0.4394922075         2.9492577701         1.4680079982         4.3150765896         3.4121294793         3.5721047642
        1.1300039000         0.4414249886         2.9503063309         1.4756649788         4.3278359769         3.6115914520         3.5878140223
        1.1350097000         0.4433597389         2.9513563458         1.4603510177         4.3278359769         3.2126675066         3.6035392862
        1.1400029000         0.4452893463         2.9524039541         1.4680079982         4.3508028740         3.4121294793         3.6192227487
        1.1450040000         0.4472217320         2.9534534563         1.4629033445         4.3635622613         3.2791548309         3.6349287931
        1.1500028000         0.4491529531         2.9545027118         1.4756649788         4.3788735260         3.6115914520         3.6506253726
        1.1550288000         0.4510944035         2.9555579142         1.4654556714         4.3839772810         3.3456421551         3.6664050928
        1.1600799000         0.4530452663         2.9566186259         1.4603510177         4.3967366683         3.2126675066         3.6822613151
        1.1650031000         0.4549464563         2.9576527097         1.4731126519         4.4145998105         3.5451041278         3.6977138078
        1.1700043000         0.4568774891         2.9587034097         1.4654556714         4.4299110752         3.3456421551         3.7134088555
        1.1750278000         0.4588168483         2.9597590306         1.4526940371         4.4273591978         3.0132055340         3.7291715793
        1.1800048000         0.4607379741         2.9608051127         1.4731126519         4.4554298498         3.5451041278         3.7447861057
        1.1850047000         0.4626676558         2.9618562409         1.4577986908         4.4554298498         3.1461801824         3.7604701725
        1.1900403000         0.4646108272         2.9629151098         1.4629033445         4.4732929920         3.2791548309         3.7762638812
        1.1950191000         0.4665317945         2.9639622668         1.4782173056         4.4962598892         3.6780787762         3.7918771191
        1.2000147000         0.4684589569         2.9650131887         1.4629033445         4.4962598892         3.2791548309         3.8075407098
        1.2050055000         0.4703839796         2.9660633319         1.4909789399         4.5115711539         4.0105153974         3.8231869091
        1.2100054000         0.4723122223         2.9671156211         1.4680079982         4.5294342961         3.4121294793         3.8388592808
        1.2151339000         0.4742897579         2.9681952156         1.4731126519         4.5472974383         3.5451041278         3.8549322939
        1.2200035000         0.4761671774         2.9692205340         1.4629033445         4.5549530707         3.2791548309         3.8701915842
        1.2250033000         0.4780945041         2.9702734939         1.4705603251         4.5677124580         3.4786168035         3.8858565107
        1.2300051000         0.4800223068         2.9713271049         1.4629033445         4.5779199678         3.2791548309         3.9015253052
        1.2350075000         0.4819500444         2.9723810720         1.4680079982         4.5932312326         3.4121294793         3.9171935705
        1.2400036000         0.4838750571         2.9734339405         1.4731126519         4.6161981297         3.5451041278         3.9328396892
        1.2450041000         0.4858014668         2.9744879649         1.4756649788         4.6264056396         3.6115914520         3.9484971618
        1.2500039000         0.4877273071         2.9755420699         1.4654556714         4.6366131494         3.3456421551         3.9641500070
