% Motor Slew Rate Measurement - Continuous Step Sequence
% Segment length = 3.0 [sec]
% N_segments     = 20
% Duration       = 60.0 [sec]
% K_lin          = 8.127800 [(rad/s)/V]
% K_gimbal       = 26.049690 [(rad/s)/V]
% Vg_offset      = 1.336908 [V]
% p_cw           = [-2.621900, 30.449800, -63.426600]
% p_ccw          = [2.394600, 4.751300, -23.293900]
% Sequence (Vcmd per segment): +0.50 +0.00 -0.50 +0.00 +1.00 +0.00 -1.00 +0.00 +1.50 +0.00 -1.50 +0.00 +2.00 +0.00 -2.00 +0.00 +2.50 +0.00 -2.50 +0.00 

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       10.1800027000         0.0000000000         2.5000000000         1.3429439823         0.4387747293         0.1572425218         0.0000000000
       10.1850021000         0.0000000000         2.5000000000         1.3557056165         0.4311190970         0.4896791429         0.0000000000
       10.1900029000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.1950020000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.2000061000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.2050035000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2100044000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2150031000         0.0000000000         2.5000000000         1.3378393285         0.4285672195         0.0242678733         0.0000000000
       10.2200036000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
       10.2250033000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.2300036000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2350024000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2400022000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2450023000         0.0000000000         2.5000000000         1.3429439823         0.4336709744         0.1572425218         0.0000000000
       10.2500025000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2550020000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.2600029000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2650029000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.2700049000         0.0000000000         2.5000000000         1.3378393285         0.4285672195         0.0242678733         0.0000000000
       10.2750034000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.2800027000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.2850015000         0.0000000000         2.5000000000         1.3352870017         0.4336709744        -0.0422194509         0.0000000000
       10.2900029000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.2950029000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.3000026000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.3050016000         0.0000000000         2.5000000000         1.3378393285         0.4336709744         0.0242678733         0.0000000000
       10.3100016000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.3150022000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.3200027000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.3250018000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.3300033000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.3350028000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.3400203000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.3450026000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.3500214000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.3550018000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.3600011000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.3650029000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.3700013000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.3750037000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.3800020000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.3850059000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.3900060000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.3950033000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.4000032000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.4050021000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.4100017000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.4150021000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.4200019000         0.0000000000         2.5000000000         1.3378393285         0.4285672195         0.0242678733         0.0000000000
       10.4250104000         0.0000000000         2.5000000000         1.3454963091         0.4362228519         0.2237298460         0.0000000000
       10.4300054000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.4350024000         0.0000000000         2.5000000000         1.3378393285         0.4285672195         0.0242678733         0.0000000000
       10.4400016000         0.0000000000         2.5000000000         1.3531532897         0.4387747293         0.4231918187         0.0000000000
       10.4450027000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.4500031000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.4550032000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.4600021000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.4650050000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.4700022000         0.0000000000         2.5000000000         1.3378393285         0.4285672195         0.0242678733         0.0000000000
       10.4750030000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.4800023000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.4850022000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.4900017000         0.0000000000         2.5000000000         1.3480486360         0.4362228519         0.2902171702         0.0000000000
       10.4950025000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.5000021000         0.0000000000         2.5000000000         1.3403916554         0.4362228519         0.0907551976         0.0000000000
       10.5050019000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
       10.5100018000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.5150029000         0.0000000000         2.5000000000         1.3403916554         0.4362228519         0.0907551976         0.0000000000
       10.5200026000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.5250230000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.5300049000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.5350039000         0.0000000000         2.5000000000         1.3429439823         0.4387747293         0.1572425218         0.0000000000
       10.5400114000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.5450579000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.5500081000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.5550051000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.5600107000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.5650059000         0.0000000000         2.5000000000         1.3301823480         0.4260153420        -0.1751940993         0.0000000000
       10.5700156000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.5750043000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.5800042000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.5850058000         0.0000000000         2.5000000000         1.3301823480         0.4234634646        -0.1751940993         0.0000000000
       10.5900047000         0.0000000000         2.5000000000         1.3480486360         0.4362228519         0.2902171702         0.0000000000
       10.5950044000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.6000028000         0.0000000000         2.5000000000         1.3659149240         0.4362228519         0.7556284398         0.0000000000
       10.6050012000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.6100021000         0.0000000000         2.5000000000         1.3454963091         0.4311190970         0.2237298460         0.0000000000
       10.6150017000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.6200075000         0.0000000000         2.5000000000         1.3276300211         0.4234634646        -0.2416814236         0.0000000000
       10.6250048000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.6300038000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.6350026000         0.0000000000         2.5000000000         1.3327346748         0.4234634646        -0.1087067751         0.0000000000
       10.6400018000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.6450171000         0.0000000000         2.5000000000         1.3454963091         0.4362228519         0.2237298460         0.0000000000
       10.6500029000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.6550022000         0.0000000000         2.5000000000         1.3378393285         0.4311190970         0.0242678733         0.0000000000
       10.6600051000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.6650023000         0.0000000000         2.5000000000         1.3327346748         0.4260153420        -0.1087067751         0.0000000000
       10.6700019000         0.0000000000         2.5000000000         1.3429439823         0.4362228519         0.1572425218         0.0000000000
       10.6750054000         0.0000000000         2.5000000000         1.3429439823         0.4387747293         0.1572425218         0.0000000000
       10.6800027000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.6850013000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.6900039000         0.0000000000         2.5000000000         1.3352870017         0.4285672195        -0.0422194509         0.0000000000
       10.6950028000         0.0000000000         2.5000000000         1.3403916554         0.4311190970         0.0907551976         0.0000000000
       10.7000020000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
       10.7050018000         0.0000000000         2.5000000000         1.3352870017         0.4311190970        -0.0422194509         0.0000000000
