% Linearization Verification  Step 1/51
% Vcmd_ref    = -2.5000 [V]
% Vc_applied  = 0.5000  [V]
% omega_target= -23.2075  [rad/s]
% omega_meas  = 0.0000  [rad/s]  (last-2s avg)
% error       = 23.2075  [rad/s]
% Vg_offset   = 0.000000  [V]
% K_gimbal    = 26.049690  [(rad/s)/V]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]
        0.4650051000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4700030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4750037000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4800300000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4850044000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4900044000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.4950029000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5000382000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5050066000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5100032000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5150034000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5200031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5250027000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5300383000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5350038000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5400109000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5450031000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5500345000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
        0.5550030000        -2.5000000000         0.4999964383         0.0000000000         0.0000000000         0.0000000000
