% K_lin=8.035300  p_cw=[-2.695200 31.026600 -64.676800]  p_ccw=[2.343300 4.917800 -23.132900]
Time[s]              Vcmd[V]              Vc[V]                Vg[V]                Pot[V]               Omega[rad/s]         Omega_target[rad/s] 
        0.5904049000         0.0590404900         2.5000000000         1.3378393285         4.7948295519         0.0216083804         0.4744080493
        0.5953825000         0.0595382500         2.5000000000         1.3352870017         4.7948295519        -0.0448789439         0.4784077002
        0.6004587000         0.0600458700         2.5000000000         1.3378393285         4.8024851842         0.0216083804         0.4824865792
        0.6054932000         0.0605493200         2.5000000000         1.3327346748         4.7922776744        -0.1113662681         0.4865319510
        0.6103972000         0.0610397200         2.5000000000         1.3429439823         4.8024851842         0.1545830288         0.4904724621
        0.6154544000         0.0615454400         2.5000000000         1.3301823480         4.7922776744        -0.1778535923         0.4945360740
        0.6205615000         0.0620561500         2.5000000000         1.3327346748         4.7922776744        -0.1113662681         0.4986397821
        0.6254479000         0.0625447900         2.7647660186         1.3352870017         4.7973814293        -0.0448789439         0.5025661511
        0.6304433000         0.0630443300         2.7650149810         1.3352870017         4.7973814293        -0.0448789439         0.5065801049
        0.6355826000         0.0635582600         2.7652711367         1.3429439823         4.8050370617         0.1545830288         0.5107096866
        0.6405605000         0.0640560500         2.7655192687         1.3352870017         4.7999333068        -0.0448789439         0.5147095786
        0.6453874000         0.0645387400         2.7657598936         1.3454963091         4.7999333068         0.2210703531         0.5185881375
        0.6504094000         0.0650409400         2.7660102649         1.3352870017         4.7973814293        -0.0448789439         0.5226234652
        0.6553795000         0.0655379500         2.7662580694         1.3327346748         4.7922776744        -0.1113662681         0.5266170896
        0.6603850000         0.0660385000         2.7665076596         1.3352870017         4.7948295519        -0.0448789439         0.5306391591
        0.6654222000         0.0665422200         2.7667588516         1.3327346748         4.7922776744        -0.1113662681         0.5346867004
        0.6704331000         0.0670433100         2.7670087529         1.3506009628         4.7973814293         0.3540450015         0.5387131088
        0.6754108000         0.0675410800         2.7672570193         1.3939905194         4.8075889392         1.4843295134         0.5427128401
        0.6804048000         0.0680404800         2.7675061193         1.3659149240         4.8024851842         0.7529689469         0.5467256689
        0.6854475000         0.0685447500         2.7677576696         1.3735719045         4.8126926941         0.9524309195         0.5507776297
        0.6904566000         0.0690456600         2.7680075647         1.3837812120         4.8203483265         1.2183802165         0.5548025918
        0.6953806000         0.0695380600         2.7682532347         1.3761242314         4.8177964490         1.0189182438         0.5587591735
        0.7004407000         0.0700440700         2.7685057161         1.3684672508         4.8177964490         0.8194562711         0.5628251157
        0.7054207000         0.0705420700         2.7687542216         1.3710195777         4.8203483265         0.8859435953         0.5668266951
