% Motor Triangle Wave Linearization Verification
% Amplitude    = 2.5000 [V]
% Period       = 10.0000 [sec]
% Cycles       = 5
% Duration     = 50.0000 [sec]
% K_lin        = 9.283000 [(rad/s)/V]
% K_gimbal     = 26.049690 [(rad/s)/V]
% Vg_offset    = 1.336895 [V]
% p_cw         = [-3.197700, 35.875600, -73.405600]
% p_ccw        = [3.168100, 3.851000, -25.925000]

Time[s]              Vcmd_ref[V]          Vc[V]                Vg_raw[V]            Pot[V]               Omega[rad/s]         Omega_target[rad/s]
       29.2450061000        -0.7549939000         1.9102153726         1.0851589698         0.0049555613        -6.5576447885        -7.0086083737
       29.2500153000        -0.7499847000         1.9131282500         1.0979206040         0.0100593162        -6.2252081673        -6.9621079701
       29.2550090000        -0.7449910000         1.9160287678         1.0877112966        -0.0027000711        -6.4911574643        -6.9157514530
       29.2600149000        -0.7399851000         1.9189330300         1.0953682772         0.0075074388        -6.2916954916        -6.8692816833
       29.2650087000        -0.7349913000         1.9218269497         1.0877112966         1.1175741334        -6.4911574643        -6.8229242379
       29.2700143000        -0.7299857000         1.9247243890         1.0877112966         1.1048147461        -6.4911574643        -6.7764572531
       29.2750089000        -0.7249911000         1.9276121608         1.0902636235         1.1124703785        -6.4246701400        -6.7300923813
       29.2800149000        -0.7199851000         1.9305032271         1.1106822383         5.0040835035        -5.8927715462        -6.6836216833
       29.2850082000        -0.7149918000         1.9333836823         1.0902636235         5.0066353810        -6.4246701400        -6.6372688794
       29.2900135000        -0.7099865000         1.9362677868         1.0902636235         4.9989797486        -6.4246701400        -6.5908046795
       29.2950084000        -0.7049916000         1.9391426429         1.1106822383         5.0142910133        -5.8927715462        -6.5444370228
       29.3000146000        -0.6999854000         1.9420207504         1.1030252578         5.0117391359        -6.0922335189        -6.4979644682
       29.3050100000        -0.6949900000         1.9448894144         1.1030252578         4.9887722387        -6.0922335189        -6.4515921700
       29.3100157000        -0.6899843000         1.9477607632         1.1081299115         4.9734609740        -5.9592588704        -6.4051242569
       29.3150069000        -0.6849931000         1.9506205860         1.1055775846         4.9504940769        -6.0257461947        -6.3587909473
       29.3200151000        -0.6799849000         1.9534869398         1.1081299115         4.9224234248        -5.9592588704        -6.3122998267
       29.3250105000        -0.6749895000         1.9563427758         1.1132345652         4.8969046502        -5.8262842220        -6.2659275285
       29.3300149000        -0.6699851000         1.9592005712         1.1055775846         4.8739377531        -6.0257461947        -6.2194716833
       29.3350040000        -0.6649960000         1.9620464660         1.1208915457         4.8560746109        -5.6268222493        -6.1731578680
       29.3400128000        -0.6599872000         1.9649004314         1.1183392189         4.8280039588        -5.6933095735        -6.1266611776
       29.3450138000        -0.6549862000         1.9677467972         1.1183392189         4.8152445715        -5.6933095735        -6.0802368946
       29.3500149000        -0.6499851000         1.9705900777         1.1336531800         4.7922776744        -5.2943856282        -6.0338116833
       29.3550092000        -0.6449908000         1.9734263665         1.1208915457         4.7693107773        -5.6268222493        -5.9874495964
       29.3600138000        -0.6399862000         1.9762653820         1.1362055069         4.7412401252        -5.2278983039        -5.9409918946
       29.3650099000        -0.6349901000         1.9790964678         1.1336531800         4.7259288605        -5.2943856282        -5.8946130983
       29.3700067000        -0.6299933000         1.9819248547         1.1387578337         4.7055138408        -5.1614109797        -5.8482278039
       29.3750052000        -0.6249948000         1.9847511165         1.1285485263         4.6774431887        -5.4273602766        -5.8018267284
       29.3800063000        -0.6199937000         1.9875757683         1.1566241217         4.6697875564        -4.6959997101        -5.7554015171
       29.3850054000        -0.6149946000         1.9903962215         1.1311008532         4.6366131494        -5.3608729524        -5.7089948718
       29.3900084000        -0.6099916000         1.9932158130         1.1489671412         4.6238537621        -4.8954616828        -5.6625520228
       29.3950068000        -0.6049932000         1.9960297630         1.1515194680         4.6110943748        -4.8289743586        -5.6161518756
       29.4000066000        -0.5999934000         1.9988414621         1.1617287755         4.5957831101        -4.5630250617        -5.5697387322
       29.4050065000        -0.5949935000         2.0016501878         1.1438624875         4.5677124580        -5.0284363313        -5.5233246605
       29.4100091000        -0.5899909000         2.0044574077         1.1642811023         4.5498493158        -4.4965377375        -5.4768855247
       29.4150057000        -0.5849943000         2.0072582526         1.1617287755         4.5396418060        -4.5630250617        -5.4305020869
       29.4200038000        -0.5799962000         2.0100569403         1.1617287755         4.5115711539        -4.5630250617        -5.3841047246
       29.4250041000        -0.5749959000         2.0128538691         1.1515194680         4.4911561342        -4.8289743586        -5.3376869397
       29.4300052000        -0.5699948000         2.0156482628         1.1719380829         4.4835005019        -4.2970757648        -5.2912617284
       29.4350021000        -0.5649979000         2.0184373401         1.1693857560         4.4656373597        -4.3635630890        -5.2448755057
       29.4400043000        -0.5599957000         2.0212264120         1.1642811023         4.4375667076        -4.4965377375        -5.1984400831
       29.4450038000        -0.5549962000         2.0240110251         1.1668334292         4.4248073203        -4.4300504132        -5.1520297246
       29.4500069000        -0.5499931000         2.0267946970         1.1719380829         4.4043923006        -4.2970757648        -5.1055859473
       29.4550309000        -0.5449691000         2.0295870409         1.1770427366         4.3941847908        -4.1641011163        -5.0589481553
       29.4600077000        -0.5399923000         2.0323502392         1.1795950634         4.3763216486        -4.0976137921        -5.0127485209
       29.4650071000        -0.5349929000         2.0351230766         1.1617287755         4.3508028740        -4.5630250617        -4.9663390907
       29.4700066000        -0.5299934000         2.0378930633         1.1821473903         4.3431472416        -4.0311264679        -4.9199287322
       29.4750041000        -0.5249959000         2.0406590466         1.1744904097         4.3227322219        -4.2305884405        -4.8735369397
       29.4800069000        -0.5199931000         2.0434250729         1.1693857560         4.2997653248        -4.3635630890        -4.8270959473
       29.4850036000        -0.5149964000         2.0461848490         1.1693857560         4.2844540601        -4.3635630890        -4.7807115812
       29.4900049000        -0.5099951000         2.0489442950         1.1795950634         4.2767984277        -4.0976137921        -4.7342845133
       29.4950342000        -0.5049658000         2.0517163026         1.1744904097         4.2665909178        -4.2305884405        -4.6875975214
       29.5000066000        -0.4999934000         2.0544541111         1.1795950634         4.2436240207        -4.0976137921        -4.6414387322
       29.5054100000        -0.4945900000         2.0574260399         1.1795950634         4.2232090010        -4.0976137921        -4.5912789700
       29.5100057000        -0.4899943000         2.0599511195         1.1821473903         4.2155533687        -4.0311264679        -4.5486170869
       29.5150052000        -0.4849948000         2.0626953531         1.1821473903         4.1951383490        -4.0311264679        -4.5022067284
       29.5200052000        -0.4799948000         2.0654370436         1.1821473903         4.1798270842        -4.0311264679        -4.4557917284
       29.5250025000        -0.4749975000         2.0681744468         1.1795950634         4.1619639420        -4.0976137921        -4.4094017925
       29.5300040000        -0.4699960000         2.0709113497         1.1898043709         4.1568601871        -3.8316644952        -4.3629728680
       29.5350029000        -0.4649971000         2.0736440385         1.1821473903         4.1389970449        -4.0311264679        -4.3165680793
       29.5400036000        -0.4599964000         2.0763749277         1.1898043709         4.1262376576        -3.8316644952        -4.2701465812
       29.5450018000        -0.4549982000         2.0791016781         1.1974613514         4.1134782703        -3.6322025225        -4.2237482906
       29.5500027000        -0.4499973000         2.0818271349         1.1923566977         4.0930632506        -3.7651771710        -4.1773249359
       29.5550020000        -0.4449980000         2.0845489619         1.2127753126         4.0905113732        -3.2332785771        -4.1309164340
       29.5600029000        -0.4399971000         2.0872689099         1.1949090246         4.0675444760        -3.6986898467        -4.0844930793
       29.5650021000        -0.4349979000         2.0899851924         1.2102229857         4.0675444760        -3.2997659014        -4.0380855057
       29.5700027000        -0.4299973000         2.0926995022         1.2025660052         4.0471294564        -3.4992278741        -3.9916649359
       29.5750021000        -0.4249979000         2.0954104361         1.2153276394         4.0369219465        -3.1667912529        -3.9452555057
