% Motor Triangle Wave Linearization Verification - Cycle Average
% Period      = 40.0 [sec]
% Cycles used = 5
% Fs          = 200 [Hz]
% N per cycle = 8000

Time[s]              Vcmd_ref_avg[V]      Omega_target_avg[rad/s] Omega_avg[rad/s]    
33.7150000000        -1.5712493650        -13.0933780835       -13.3167461694      
33.7200000000        -1.5699990600        -13.0829591669       -13.3034487045      
33.7250000000        -1.5687493150        -13.0725449168       -13.3699360287      
33.7300000000        -1.5674992100        -13.0621276668       -13.4098284233      
33.7350000000        -1.5662441400        -13.0516690431       -13.1438791263      
33.7400000000        -1.5649992600        -13.0412953335       -13.2901512397      
33.7450000000        -1.5637391350        -13.0307945859       -13.3433410991      
33.7500000000        -1.5624990550        -13.0204608752       -13.2236639154      
33.7550000000        -1.5612484600        -13.0100395420       -13.1704740561      
33.7600000000        -1.5599993500        -12.9996305835       -13.1571765912      
33.7650000000        -1.5587492750        -12.9892135835       -13.1172841967      
33.7700000000        -1.5574990550        -12.9787953752       -13.1305816615      
33.7750000000        -1.5562491500        -12.9683797919       -12.9843095482      
33.7800000000        -1.5549955450        -12.9579333761       -13.1970689858      
33.7850000000        -1.5537492150        -12.9475475835       -13.0242019428      
33.7900000000        -1.5524989600        -12.9371290836       -13.1305816615      
33.7950000000        -1.5512493050        -12.9267155835       -13.0374994076      
33.8000000000        -1.5499991800        -12.9162981669       -13.0507968725      
33.8050000000        -1.5487493050        -12.9058828335       -13.0507968724      
33.8100000000        -1.5474993500        -12.8954668335       -12.8912272943      
33.8150000000        -1.5462490050        -12.8850475836       -13.0507968724      
33.8200000000        -1.5449990250        -12.8746313752       -12.9710120834      
33.8250000000        -1.5437490200        -12.8642149586       -12.9311196889      
33.8300000000        -1.5424982750        -12.8537923754       -13.1305816615      
33.8350000000        -1.5412459250        -12.8433564176       -12.8779298295      
33.8400000000        -1.5399993450        -12.8329685418       -12.9444171537      
33.8450000000        -1.5387455450        -12.8225205010       -12.8513348998      
33.8500000000        -1.5374987750        -12.8121310419       -12.7981450404      
33.8550000000        -1.5362494650        -12.8017204168       -12.9178222240      
33.8600000000        -1.5349994250        -12.7913037085       -12.8912272943      
33.8650000000        -1.5337493200        -12.7808864585       -12.7582526458      
33.8700000000        -1.5324992600        -12.7704695835       -13.1571765912      
33.8750000000        -1.5312494150        -12.7600545001       -12.9444171537      
33.8800000000        -1.5299989750        -12.7496344586       -12.9311196888      
33.8850000000        -1.5287490300        -12.7392185419       -12.9045247591      
33.8900000000        -1.5274992100        -12.7288036668       -12.7848475756      
33.8950000000        -1.5262491500        -12.7183867919       -12.8912272943      
33.9000000000        -1.5249990950        -12.7079699586       -12.7582526459      
33.9050000000        -1.5235477050        -12.6958753805       -12.8380374349      
33.9100000000        -1.5221678250        -12.6843767025       -12.7848475755      
33.9150000000        -1.5211192200        -12.6756385722       -12.7449551810      
33.9200000000        -1.5199990850        -12.6663043752       -12.8380374349      
33.9250000000        -1.5187491900        -12.6558888752       -12.8646323646      
33.9300000000        -1.5174989400        -12.6454704169       -12.8247399701      
33.9350000000        -1.5162489550        -12.6350541669       -12.6784678568      
33.9400000000        -1.5149991700        -12.6246395835       -12.7582526459      
