Time[s]		AO0(Switch)	AO1(Sine)	AI2(Read)	AI3(Read)
        0.8850000000         3.0000000000         4.0000000000         1.8789326221         0.8547307552
        0.8900000000         3.0000000000         4.0000000000         1.8840372758         0.9108720593
        0.8950000000         3.0000000000         4.0000000000         1.8712756415         0.9593577310
        0.9000000000         3.0000000000         4.0000000000         1.8891419295         1.0231546675
        0.9050000000         3.0000000000         4.0000000000         1.8738279684         1.0690884617
        0.9100000000         3.0000000000         4.0000000000         1.8840372758         1.1379891531
        0.9150000000         3.0000000000         4.0000000000         1.8687233147         1.1762673150
        0.9200000000         3.0000000000         4.0000000000         1.8712756415         1.2298567416
        0.9250000000         3.0000000000         4.0000000000         1.8763802953         1.2911018006
        0.9300000000         3.0000000000         4.0000000000         1.8763802953         1.3446912273
        0.9350000000         3.0000000000         4.0000000000         1.8763802953         1.4008325314
        0.9400000000         3.0000000000         4.0000000000         1.8661709878         1.4518700806
        0.9450001000         3.0000000000         4.0000000000         1.8814849490         1.5105632621
        0.9500000000         3.0000000000         4.0000000000         1.8687233147         1.5539451789
        0.9550001000         3.0000000000         4.0000000000         1.8738279684         1.6126383605
        0.9600001000         3.0000000000         4.0000000000         1.8738279684         1.6611240322
        0.9650000000         3.0000000000         4.0000000000         1.8763802953         1.7147134588
        0.9700000000         3.0000000000         4.0000000000         1.8814849490         1.7683028855
        0.9750000000         3.0000000000         4.0000000000         1.8712756415         1.8116848023
        0.9800000000         3.0000000000         4.0000000000         1.8763802953         1.8729298613
        0.9850000000         3.0000000000         4.0000000000         1.8763802953         1.9214155330
        0.9900000000         3.0000000000         4.0000000000         1.8763802953         1.9750049597
        0.9950000000         3.0000000000         4.0000000000         1.8763802953         2.0336981412
        1.0000000000         3.0000000000         4.0000000000         1.8763802953         2.0898394453
        1.0050000000         3.0000000000         4.0000000000         1.8840372758         2.1408769945
        1.0100001000         3.0000000000         4.0000000000         1.8763802953         2.1919145437
        1.0150000000         3.0000000000         4.0000000000         1.8865896027         2.2557114802
        1.0200001000         3.0000000000         4.0000000000         1.8763802953         2.3067490293
        1.0250000000         3.0000000000         4.0000000000         1.8712756415         2.3577865785
        1.0300000000         3.0000000000         4.0000000000         1.8891419295         2.4164797601
        1.0350000000         3.0000000000         4.0000000000         1.8738279684         2.4649654318
        1.0400011000         3.0000000000         4.0000000000         1.8789326221         2.5160029810
        1.0450000000         3.0000000000         4.0000000000         1.8814849490         2.5644886527
        1.0500000000         3.0000000000         4.0000000000         1.8636186610         2.6180780793
        1.0550000000         3.0000000000         4.0000000000         1.8789326221         2.6767712609
        1.0600000000         3.0000000000         4.0000000000         1.8712756415         2.7329125650
        1.0650000000         3.0000000000         4.0000000000         1.8789326221         2.7865019916
        1.0700000000         3.0000000000         4.0000000000         1.8661709878         2.8400914183
        1.0750000000         3.0000000000         4.0000000000         1.8840372758         2.8936808449
        1.0800000000         3.0000000000         4.0000000000         1.8840372758         2.9447183941
        1.0850000000         3.0000000000         4.0000000000         1.8738279684         2.9957559433
        1.0900000000         3.0000000000         4.0000000000         1.8789326221         3.0493453699
        1.0950000000         3.0000000000         4.0000000000         1.8763802953         3.1029347965
        1.1000000000         3.0000000000         4.0000000000         1.8891419295         3.1718354879
        1.1050000000         3.0000000000         4.0000000000         1.8738279684         3.2126655273
        1.1100000000         3.0000000000         4.0000000000         1.8865896027         3.2713587088
        1.1150000000         3.0000000000         4.0000000000         1.8661709878         3.3326037679
        1.1200000000         3.0000000000         4.0000000000         1.8814849490         3.3759856847
